id,title,path,file,db_type,user_id,passwd,schema_id
1,"フレキシビリティ検討資料","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase0\03.個別テーマ取りまとめ資料(フェーズ0）\99.フレキシビリティ\","フレキシビリティ検討資料.xlsx"
2,"excel diff","C:\Users\winridge\Documents\mydata\excel\","diff.xlsm"
3,"要件定義(商品材発)","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\A0_事務処理マニュアル紐付け\商品材発分\","システム要件整理.xlsx"
4,"ドメイン定義【勧誘】","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\勧誘DM管理システム\09_共通定義\","ドメイン定義書_勧誘DMシステム管理.xlsx"
5,"ドメイン定義【材発】","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\商品・教材発送管理システム\16_201612納品物\09_共通定義\ドメイン定義書\","ドメイン定義書_商品・教材発送管理システム.xlsx"
6,"ドメイン定義【共通】","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\基幹システム共通\02_ドメイン定義書_統合版\","ドメイン定義書_統合版.xlsx"
7,"ドメイン定義【変更】","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\変更データ管理\09_共通定義\","ドメイン定義書_変更データ管理.xlsx"
8,"ドメイン定義【請求】","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\請求入金管理システム\10_DB設計\","ドメイン定義書_請求入金版.xlsx"
9,"メッセージ定義(基幹システム共通)","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\01_納品物\10_メッセージ設計書\","メッセージ設計書_共通.xls"
10,"業務一覧","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\01_納品物\01_業務一覧\","業務一覧_v1.0.xlsx"
11,"変更要件","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\C0_変更要件整理\","変更要件一覧.xlsx"
12,"機能一覧","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\商品・教材発送管理システム\16_201612納品物\02_機能一覧\","機能一覧_商品・教材発送管理システム.xlsx"
13,"お客様レビュー記録","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\03_お客様指摘事項_外部設計\","レビュー記録表_新基幹.xlsx"
14,"基幹メーリングリスト","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\01_プロジェクト管理\","基幹再構築メーリングリスト.xlsx"
15,"機能一覧(サブシステム)","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\サブシステム\02_機能一覧\00_trunk\","機能一覧_サブシステム.xlsx"
16,"バッチ一覧(サブシステム)","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\サブシステム\05_バッチ一覧\00_trunk\","バッチ一覧_サブシステム.xlsx"
17,"データＮＯ","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\請求・入金管理システム\08_参考資料\trash\","データＮＯ項目を新基幹上どのマスタに持つかの検討.xlsx"
18,"ドメイン定義","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\基幹システム共通\09_ドメイン定義書\v4.3\","ドメイン定義書_基幹システム共通.xlsx"
19,"アウトプット","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\サブシステム\90_現行業務内部調査\","output一覧_次期出力確認_20170328.xlsx"
20,"成果物進捗管理表","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\01_プロジェクト管理\内部設計WBS\","成果物進捗管理表_サブシステム.xlsx"
21,"インタフェース","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\サブシステム\91_課題\","インターフェース一覧_次期確認結果_20170328.xlsx"
22,"汎用コードマスタ定義","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\基幹システム共通\50_汎用コードマスタ定義\","汎用コードマスタ定義_統合版.xlsx"
23,"全カラム一覧","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\41_参考資料\3_検討資料\現行システム全カラム一覧\","全カラム一覧.xlsx"
24,"インプット一覧","C:\Users\winridge\Documents\mydata\excel\","インプット一覧表.xlsx"
25,"インター・フェース一覧[基幹共通]","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\基幹システム共通\06_インタフェース一覧\v4.3\","インタフェース一覧_基幹システム共通.xlsx"
26,"HULFT情報一覧","c:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase0\03.個別テーマ取りまとめ資料(フェーズ0）\16.インターフェース\","HULFT情報管理一覧表.xls"
27,"HULFT情報管理","c:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase0\03.個別テーマ取りまとめ資料(フェーズ0）\16.インターフェース\","HULFT管理表_vr001（凍結更新不可）.xls"
28,"お客様レビュー指摘","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\03_お客様指摘事項_外部設計\","V4.0 レビュー記録表_新基幹.xlsx"
29,"内部課題管理","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\20_QA・課題\","基幹再構築_課題管理表.xlsx"
30,"全体フロー図","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\70_全体システムフロー図\","機能一覧.xlsx"
31,"基幹再構築課題一覧","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\20_QA・課題\","基幹再構築課題一覧_更新版.xlsx"
32,"ＩＣＳ－ＯＣＳマトリックス","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\勧誘DM管理システム\08_システムフロー\補足資料\OCS\","ICSとOCSについて_勧誘修正版.xlsx"
33,"共通モジュール一覧(検討)","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\共通モジュール\02_機能一覧\","【検討】共通モジュール一覧.xlsx"
34,"共通モジュール一覧","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\共通モジュール\02_機能一覧\","共通モジュール一覧.xlsx"
35,"firebird-mydb","C:\Users\winridge\Documents\mydata\firebird\","MYDB.FDB","sysdba","down5kg"
36,"お客様レビュー記録[v4.2]","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\03_お客様指摘事項_外部設計\","V4.2 レビュー記録表_新基幹.xlsx"
37,"ジョブネット一覧","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase0\03.個別テーマ取りまとめ資料(フェーズ0）\01.共通資料\01.既存資料\01 バッチ一覧\","ジョブネット一覧.xls"
38,"ココチモ日次更新トラン（集信）","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\15_受領資料\20171002_ココチモ関連資料\ココチモ関連資料\ココチモ→基幹\","日次更新トラン設定仕様_ver5.0.xls"
39,"ココチモ機能一覧","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\サブシステム\91_課題\","ココチモ機能一覧.xlsx","excel","","u-can"
40,"機能一覧(ＬＯ共通)","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\リスト・オーダー共通\02_機能一覧\v4.3\","機能一覧_リスト・オーダー共通.xlsx","excel","","u-can"
41,"機能一覧(商品材発)","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\商品・教材発送管理システム\16_201612納品物\02_機能一覧\v4.3\","商品教材発送管理_機能一覧.xlsx","excel","","u-can"
42,"機能一覧(勧誘ＤＭ)","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\勧誘DM管理システム\10_DB設計\v4.3\","エンティティ定義書_勧誘DM管理システム.xlsx","excel","","u-can"
43,"機能一覧(請求入金)","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\請求入金管理システム\02_機能一覧\","機能一覧_請求入金管理.xlsx","excel","","u-can"
44,"機能一覧(変更データ管理)","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\変更データ管理\02_機能一覧\","機能一覧_変更データ管理.xlsx","excel","","u-can"
45,"機能一覧(基幹システム共通)","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\基幹システム共通\02_機能一覧\v4.3\","機能一覧_基幹システム共通.xlsx","excel","","u-can"
46,"機能一覧(共通部品)","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\基幹システム共通\60_共通部品一覧\","共通部品一覧_基幹システム共通.xlsx","excel","","u-can"
47,"機能一覧(サブシステム)","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\サブシステム\02_機能一覧\00_trunk\","機能一覧_サブシステム.xlsx","excel","","u-can"
48,"エンティティ一覧(基幹参照)","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\基幹システム共通\12_エンティティ定義書\基幹処理参照\","エンティティ一覧_基幹処理参照.xlsx","excel"
49,"お客様指摘事項(外部設計書)","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\03_お客様指摘事項_外部設計\","V5.0 レビュー記録表_新基幹.xlsx","excel","",""
50,"ジョブネット","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\15_受領資料\20180117\","処理手順書_20180117送付_mod.xls","excel","",""
51,"勘定系ＤＢ","C:\Users\winridge\Documents\workspace\svn-work\ドキュメント\再開発\phase_201411\110_お客様レビュー成果物\基幹システム共通\12_エンティティ定義書\基幹処理参照\定義書\","【2】テーブル定義_Ver2.2.xls","excel","",""
52,"お客様指摘事項(外部設計書)[u-can]","C:\Users\winridge\Desktop\","【最新版】V5.0 レビュー記録表_新基幹.xlsx","excel","","",1
